session,monkey,num_neurons,num_training_samples,num_testing_samples,kinematic_axis,bin_width,decoder,rsq,snr
indy_20160407_02,indy,291,320,31111,velx,16,KF_static,0.2926640597059198,1.5037427451355758
indy_20160407_02,indy,291,320,31111,velx,16,KF_dynamic,0.3653510443298206,1.9746643025424606
indy_20160407_02,indy,291,320,31111,velx,16,UKF,0.6327312441619517,4.350160162348498
indy_20160407_02,indy,291,320,31111,velx,16,rEFH_static,0.5013317984510547,3.0218832444681185
indy_20160407_02,indy,291,320,31111,velx,16,rEFH_dynamic,0.6322963969211257,4.345021145162169
indy_20160407_02,indy,291,320,15555,velx,32,regression,0.2754263816885555,1.3991748265359691
indy_20160407_02,indy,291,320,15555,velx,32,KF_observed,0.5170920101103761,3.1613560897888613
indy_20160407_02,indy,291,320,15555,velx,32,KF_static,0.37586883607558064,2.0472413181984077
indy_20160407_02,indy,291,320,15555,velx,32,KF_dynamic,0.48847460221099415,2.91132798225947
indy_20160407_02,indy,291,320,15555,velx,32,UKF,0.6281272529138914,4.296056480024274
indy_20160407_02,indy,291,320,15555,velx,32,rEFH_static,0.6485307675789583,4.541126870726306
indy_20160407_02,indy,291,320,15555,velx,32,rEFH_dynamic,0.6760095015724121,4.894677260309663
indy_20160407_02,indy,291,320,7777,velx,64,regression,0.3526485332900037,1.8885986367632261
indy_20160407_02,indy,291,320,7777,velx,64,KF_observed,0.5577800182162821,3.543616376452597
indy_20160407_02,indy,291,320,7777,velx,64,KF_static,0.42312310604298964,2.389168557860633
indy_20160407_02,indy,291,320,7777,velx,64,KF_dynamic,0.5293485743561859,3.2730062145846968
indy_20160407_02,indy,291,320,7777,velx,64,UKF,0.6516886756121643,4.580324054177398
indy_20160407_02,indy,291,320,7777,velx,64,rEFH_static,0.7319177209475345,5.717318930819818
indy_20160407_02,indy,291,320,7777,velx,64,rEFH_dynamic,0.7627776421229914,6.248443817284111
indy_20160407_02,indy,291,320,3888,velx,128,regression,0.41157870246624784,2.303116166481163
indy_20160407_02,indy,291,320,3888,velx,128,KF_observed,0.5746624312984732,3.712662557548704
indy_20160407_02,indy,291,320,3888,velx,128,KF_static,0.4898172184929006,2.9227420276785994
indy_20160407_02,indy,291,320,3888,velx,128,KF_dynamic,0.5819007840951862,3.7872064691629648
indy_20160407_02,indy,291,320,3888,velx,128,UKF,0.6640305454103365,4.737002056642595
indy_20160407_02,indy,291,320,3888,velx,128,rEFH_static,0.7407892393621045,5.863469735242175
indy_20160407_02,indy,291,320,3888,velx,128,rEFH_dynamic,0.7582581732217327,6.166482003684455
indy_20160407_02,indy,291,320,31111,vely,16,regression,0.24629103120529627,1.2279631679020557
indy_20160407_02,indy,291,320,31111,vely,16,KF_observed,0.5228799526275464,3.2137233510672267
indy_20160407_02,indy,291,320,31111,vely,16,KF_static,0.392306761176883,2.1631559557327966
indy_20160407_02,indy,291,320,31111,vely,16,KF_dynamic,0.44253467484468323,2.53782140947141
indy_20160407_02,indy,291,320,31111,vely,16,UKF,0.6964505991162856,5.177706199583972
indy_20160407_02,indy,291,320,31111,vely,16,rEFH_static,0.5014170552350201,3.022625816708784
indy_20160407_02,indy,291,320,31111,vely,16,rEFH_dynamic,0.6265482548682975,4.277655067720538
indy_20160407_02,indy,291,320,15555,vely,32,regression,0.34133871373525615,1.8133786207191336
indy_20160407_02,indy,291,320,15555,vely,32,KF_observed,0.5718234654560583,3.6837713712874534
indy_20160407_02,indy,291,320,15555,vely,32,KF_static,0.4729002762432206,2.78107211390692
indy_20160407_02,indy,291,320,15555,vely,32,KF_dynamic,0.5540588932372623,3.5072249262598505
indy_20160407_02,indy,291,320,15555,vely,32,UKF,0.7010080053500316,5.243404395213467
indy_20160407_02,indy,291,320,15555,vely,32,rEFH_static,0.6921693661361039,5.116881633997782
indy_20160407_02,indy,291,320,15555,vely,32,rEFH_dynamic,0.7163216686143675,5.471738362839904
indy_20160407_02,indy,291,320,7777,vely,64,regression,0.4311104746907306,2.4497206261518487
indy_20160407_02,indy,291,320,7777,vely,64,KF_observed,0.6096781639060309,4.085771519474311
indy_20160407_02,indy,291,320,7777,vely,64,KF_static,0.5365946812588378,3.3403898589632073
indy_20160407_02,indy,291,320,7777,vely,64,KF_dynamic,0.6246646123069659,4.255804871315814
indy_20160407_02,indy,291,320,7777,vely,64,UKF,0.7123328951033342,5.411097974028579
indy_20160407_02,indy,291,320,7777,vely,64,rEFH_static,0.7565363375708356,6.135658491685817
indy_20160407_02,indy,291,320,7777,vely,64,rEFH_dynamic,0.7788296576460958,6.552731098066859
indy_20160407_02,indy,291,320,3888,vely,128,regression,0.5082668826825539,3.0827054179344984
indy_20160407_02,indy,291,320,3888,vely,128,KF_observed,0.6447487473970095,4.49464382091252
indy_20160407_02,indy,291,320,3888,vely,128,KF_static,0.6020905913702899,4.0021579177179065
indy_20160407_02,indy,291,320,3888,vely,128,KF_dynamic,0.6593140073754746,4.676457221730427
indy_20160407_02,indy,291,320,3888,vely,128,UKF,0.7058386808992358,5.314144356381794
indy_20160407_02,indy,291,320,3888,vely,128,rEFH_static,0.7901214656036413,6.780319771866605
indy_20160407_02,indy,291,320,3888,vely,128,rEFH_dynamic,0.8053895977660087,7.108339497198641
indy_20160407_02,indy,291,320,31111,accx,16,regression,0.04867134278088725,0.216694206455828
indy_20160407_02,indy,291,320,31111,accx,16,KF_observed,0.03225248925938873,0.14237937108471962
indy_20160407_02,indy,291,320,31111,accx,16,KF_static,0.06947866431822347,0.3127366459379034
indy_20160407_02,indy,291,320,31111,accx,16,KF_dynamic,-0.015697003066667436,-0.06764171016993047
indy_20160407_02,indy,291,320,31111,accx,16,UKF,0.20753453036747693,1.0101965235913086
indy_20160407_02,indy,291,320,31111,accx,16,rEFH_static,0.1372054301024479,0.6409259684597645
indy_20160407_02,indy,291,320,31111,accx,16,rEFH_dynamic,0.22648531376504233,1.115314362112165
indy_20160407_02,indy,291,320,15555,accx,32,regression,0.07366117119625182,0.332301314988966
indy_20160407_02,indy,291,320,15555,accx,32,KF_observed,0.11748801022807276,0.5427938559292685
indy_20160407_02,indy,291,320,15555,accx,32,KF_static,0.10052603033311736,0.46011400404712754
indy_20160407_02,indy,291,320,15555,accx,32,KF_dynamic,0.10639494673703864,0.4885438398598523
indy_20160407_02,indy,291,320,15555,accx,32,UKF,0.23824577755295218,1.1818512977956435
indy_20160407_02,indy,291,320,15555,accx,32,rEFH_static,0.302655649595174,1.5655271322104096
indy_20160407_02,indy,291,320,15555,accx,32,rEFH_dynamic,0.3308728790751627,1.744913670279126
indy_20160407_02,indy,291,320,7777,accx,64,regression,0.09877828213552364,0.4516835108596402
